iter	Logloss
174	0.1956639766
175	0.195636718
176	0.1956062024
177	0.1955931877
178	0.1955784224
179	0.1955611703
180	0.1955437483
181	0.195527707
182	0.1955082018
183	0.1954851084
184	0.1954655138
185	0.1954491509
186	0.1954202749
187	0.1954049303
188	0.1953716346
189	0.1953508598
190	0.1953299052
191	0.1953057678
192	0.1952799585
193	0.195262708
194	0.195240126
195	0.195211475
196	0.1951750684
197	0.1951480591
198	0.1951203747
199	0.1951030444
200	0.1950897731
201	0.1950642608
202	0.195047988
203	0.1950367788
204	0.195023664
205	0.19499929
206	0.1949698588
207	0.1949539651
208	0.1949357201
209	0.1949180749
210	0.1948981171
211	0.1948897381
212	0.1948644596
213	0.1948443055
214	0.1948193284
215	0.194796962
216	0.1947793513
217	0.1947642868
218	0.1947405394
219	0.1947146941
220	0.1947018498
221	0.1946797378
222	0.1946626691
223	0.1946525893
224	0.1946339964
225	0.1946165379
226	0.1945865162
227	0.1945685292
228	0.1945542015
229	0.1945364165
230	0.1945182164
231	0.1944995573
232	0.1944822403
233	0.1944657552
234	0.1944398379
235	0.1944265112
236	0.1944103946
237	0.1943854851
238	0.1943606631
239	0.1943460263
240	0.1943319433
241	0.1943057448
242	0.1942926281
243	0.1942823945
244	0.1942608292
245	0.1942447939
246	0.1942310836
247	0.1942213035
248	0.194209332
249	0.1941947125
250	0.1941701229
251	0.1941422093
252	0.194110395
253	0.1941000233
254	0.1940758263
255	0.1940577582
256	0.19403912
257	0.194022079
258	0.1939921618
259	0.1939756601
260	0.1939605602
261	0.193938403
262	0.1939193766
263	0.193907043
264	0.1938887327
265	0.1938630787
266	0.1938511385
267	0.1938323268
268	0.1938082539
269	0.1937929239
270	0.1937807277
271	0.1937578465
272	0.1937383641
273	0.1937219253
274	0.1937073306
275	0.193693649
276	0.1936607691
277	0.1936439321
278	0.1936180621
279	0.1936024151
280	0.1935910878
281	0.193570362
282	0.1935466761
283	0.193531787
284	0.1935186235
285	0.1934974881
286	0.1934676225
287	0.1934570765
288	0.1934332601
289	0.1934154451
290	0.1933984729
291	0.1933804342
292	0.1933629241
293	0.193343025
294	0.1933197939
295	0.1933029846
296	0.1932795334
297	0.1932735069
298	0.1932628037
299	0.193243198
300	0.1932324795
301	0.193213788
302	0.1931929915
303	0.1931808736
304	0.1931664158
305	0.1931492451
306	0.1931343104
307	0.1931178324
308	0.1930967227
309	0.1930833978
310	0.1930562918
311	0.1930410684
312	0.1930232089
313	0.1930099195
314	0.1929921805
315	0.1929677634
316	0.1929559448
317	0.1929314025
318	0.1929144472
319	0.1929012985
320	0.1928749137
321	0.1928544958
322	0.192835177
323	0.1928163803
324	0.1927959987
325	0.1927718839
326	0.1927516047
327	0.1927344441
328	0.1927242608
329	0.1927098645
330	0.1926987581
331	0.1926810983
332	0.1926558573
333	0.1926403236
334	0.1926206692
335	0.19259683
336	0.1925794384
337	0.1925627435
338	0.1925452036
339	0.1925255353
340	0.1925060252
341	0.192492276
342	0.1924747642
343	0.1924489382
344	0.1924339624
345	0.1924222532
346	0.1924057099
347	0.1923873184
348	0.192373982
349	0.1923595385
350	0.1923460772
351	0.1923324444
352	0.1923156177
353	0.1923005389
354	0.1922859025
355	0.1922637865
356	0.1922533708
357	0.1922357553
358	0.1922214903
359	0.1922154776
360	0.1922104746
361	0.1921939564
362	0.1921684286
363	0.1921571158
364	0.1921450882
365	0.1921244086
366	0.1921071458
367	0.1920929796
368	0.1920765594
369	0.19206362
370	0.1920539807
371	0.1920386874
372	0.1920292287
373	0.1920100529
374	0.1919861217
375	0.1919733033
376	0.1919517449
377	0.191939643
378	0.1919211566
379	0.1919103268
380	0.1918982627
381	0.1918894198
382	0.1918768238
383	0.1918587951
384	0.1918427937
385	0.1918288389
386	0.1918146849
387	0.1917947468
388	0.1917719287
389	0.1917494805
390	0.1917316839
391	0.1917122408
392	0.1916990635
393	0.1916920116
394	0.1916748203
395	0.1916550825
396	0.1916408263
397	0.1916217702
398	0.191608409
399	0.1915952521
400	0.1915841696
401	0.1915673133
402	0.1915528114
403	0.1915233612
404	0.1915093564
405	0.1914918371
406	0.1914740567
407	0.1914614978
408	0.1914428615
409	0.191428038
410	0.1914098931
411	0.1914008917
412	0.1913837257
413	0.1913644159
414	0.1913404112
415	0.1913251203
416	0.191305116
417	0.1912911202
418	0.1912739586
419	0.1912579472
420	0.1912415384
421	0.1912317448
422	0.1912188822
423	0.1912000854
424	0.1911734849
425	0.1911566096
426	0.1911346093
427	0.1911260466
428	0.1911032069
429	0.1910899501
430	0.1910762398
431	0.191067559
432	0.1910479862
433	0.1910396284
434	0.1910244303
435	0.1910165394
436	0.1909986409
437	0.1909824941
438	0.1909687743
439	0.1909512983
440	0.1909398087
441	0.1909260989
442	0.1909155662
443	0.1908911908
444	0.190878127
445	0.1908605983
446	0.1908509258
447	0.1908344159
448	0.1908230252
449	0.1908086012
450	0.1907938901
451	0.1907718083
452	0.1907614905
453	0.1907489869
454	0.1907385154
455	0.1907265365
456	0.1907088246
457	0.1906886372
458	0.1906806786
459	0.1906663577
460	0.190648029
461	0.1906361009
462	0.190617067
463	0.1906092467
464	0.1905969445
465	0.1905876655
466	0.190571474
467	0.1905509634
468	0.190528049
469	0.1905141498
470	0.1905010616
471	0.1904855698
472	0.1904717219
473	0.1904614449
474	0.1904409879
475	0.190423354
476	0.1904007421
477	0.1903816619
478	0.190366626
479	0.1903564323
480	0.1903402382
481	0.1903296123
482	0.1903138222
483	0.1902920292
484	0.1902832745
485	0.1902753655
486	0.1902668627
487	0.190258726
488	0.1902504512
489	0.1902281053
490	0.1902131356
491	0.1902012715
492	0.1901827197
493	0.1901725747
494	0.1901547982
495	0.1901396331
496	0.1901270556
497	0.1901168679
498	0.1901031685
499	0.1900847279
500	0.1900695484
501	0.1900493218
502	0.1900384262
503	0.1900234293
504	0.1900155131
505	0.1900053107
506	0.1899926016
507	0.189981032
508	0.1899645621
509	0.1899547488
510	0.1899477739
511	0.1899254962
512	0.1899127578
513	0.1899019679
514	0.189891204
515	0.1898750598
516	0.1898639573
517	0.1898492448
518	0.1898260967
519	0.1898093755
520	0.189792582
521	0.1897723501
522	0.1897542796
523	0.1897451874
524	0.1897369904
525	0.189718279
526	0.1897040687
527	0.189683311
528	0.1896711935
529	0.1896581061
530	0.1896439868
531	0.1896301518
532	0.1896218969
533	0.1896069736
534	0.1895988304
535	0.1895794248
536	0.1895645502
537	0.1895543842
538	0.1895415713
539	0.1895284087
540	0.1895147087
541	0.1894951197
542	0.1894808597
543	0.1894679909
544	0.1894508269
545	0.1894374961
546	0.1894220361
547	0.1894037608
548	0.1893918494
549	0.1893698733
550	0.1893598264
551	0.1893478465
552	0.1893351554
553	0.1893173749
554	0.1892975271
555	0.1892851383
556	0.1892666357
557	0.1892545945
558	0.1892443209
559	0.1892370854
560	0.1892299888
561	0.1892099722
562	0.1891934736
563	0.1891878826
564	0.1891789228
565	0.1891588547
566	0.1891503131
567	0.1891385797
568	0.1891267462
569	0.1891101976
570	0.1890957285
571	0.1890791866
572	0.1890680163
573	0.1890613533
574	0.1890482573
575	0.1890383953
576	0.1890291504
577	0.1890213559
578	0.1890022418
579	0.1889861994
580	0.1889765144
581	0.1889610967
582	0.1889429192
583	0.1889293239
584	0.1889154713
585	0.1888974384
586	0.1888874248
587	0.1888724087
588	0.1888607
589	0.1888432732
590	0.1888275701
591	0.1888139959
592	0.1888070308
593	0.1887876942
594	0.1887723475
595	0.1887524441
596	0.1887434305
597	0.1887252354
598	0.1887069981
599	0.1886922553
600	0.1886793848
601	0.1886638015
602	0.1886442689
603	0.1886240614
604	0.188605125
605	0.1885965565
606	0.1885845096
607	0.1885703621
608	0.188552551
609	0.1885437231
610	0.1885235643
611	0.1885036882
612	0.1884906295
613	0.1884735955
614	0.1884573319
615	0.1884470113
616	0.1884326668
617	0.1884179565
618	0.188401749
619	0.188386158
620	0.1883779495
621	0.1883698869
622	0.1883593075
623	0.1883521354
624	0.1883376424
625	0.1883232879
626	0.1883093039
627	0.1882994569
628	0.1882881344
629	0.1882721041
630	0.1882598937
631	0.1882542633
632	0.1882428625
633	0.1882249746
634	0.1882211898
635	0.1882105825
636	0.1881919044
637	0.1881736185
638	0.1881573152
639	0.1881460118
640	0.1881375287
641	0.1881245318
642	0.1881168219
643	0.1880996975
644	0.1880878945
645	0.1880735777
646	0.1880607881
647	0.1880454785
648	0.1880368195
649	0.1880246741
650	0.1880121031
651	0.1879988835
652	0.1879868638
653	0.1879681955
654	0.1879488539
655	0.1879441748
656	0.1879273723
657	0.1879159884
658	0.1879042802
659	0.1878893383
660	0.1878761009
661	0.187861581
662	0.1878528693
663	0.1878386041
664	0.1878266389
665	0.1878123075
666	0.187806629
667	0.1877930427
668	0.1877764465
669	0.1877630567
670	0.1877428632
671	0.1877261794
672	0.1877096601
673	0.1876966305
674	0.1876899913
675	0.1876790852
676	0.1876723759
677	0.1876557268
678	0.187647731
679	0.1876337621
680	0.1876168748
681	0.1876004437
682	0.1875863812
683	0.1875762446
684	0.1875629629
685	0.1875467603
686	0.1875310819
687	0.1875221054
688	0.1875028534
689	0.1874913133
690	0.1874706164
691	0.1874666711
692	0.1874546631
693	0.1874388131
694	0.1874279788
695	0.187414991
696	0.1874014966
697	0.1873943858
698	0.1873812133
699	0.187372726
700	0.1873556782
701	0.1873473316
702	0.1873395969
703	0.1873265708
704	0.187308359
705	0.1872944366
706	0.1872846931
707	0.1872704723
708	0.1872529741
709	0.1872447811
710	0.1872314129
711	0.187217614
712	0.1872012217
713	0.1871821746
714	0.1871692715
715	0.1871527606
716	0.1871388865
717	0.1871236087
718	0.1871126958
719	0.1870972332
720	0.1870923279
721	0.187076471
722	0.18706223
723	0.1870507429
724	0.1870384354
725	0.1870280981
726	0.1870131776
727	0.1870009439
728	0.186986022
729	0.1869709369
730	0.186952637
731	0.186934373
732	0.1869251237
733	0.186913027
734	0.1869011783
735	0.1868856315
736	0.1868778506
737	0.1868656427
738	0.1868463535
739	0.1868369333
740	0.1868252593
741	0.1868137466
742	0.1867947115
743	0.1867855739
744	0.1867730478
745	0.1867639624
746	0.1867509196
747	0.1867357363
748	0.1867158275
749	0.1867006371
750	0.1866821802
751	0.186666901
752	0.1866536001
753	0.1866472283
754	0.1866375372
755	0.1866216143
756	0.1866080842
757	0.1865943164
758	0.1865789325
759	0.1865683139
760	0.1865512885
761	0.1865359616
762	0.1865233068
763	0.186511993
764	0.1864958287
765	0.186480577
766	0.1864699197
767	0.1864602685
768	0.1864478497
769	0.1864316741
770	0.186422402
771	0.1864097184
772	0.1863955106
773	0.1863858605
774	0.1863709798
775	0.1863600416
776	0.1863458181
777	0.1863333919
778	0.1863227046
779	0.1863101469
780	0.1862972971
781	0.1862788886
782	0.1862655974
783	0.1862518454
784	0.1862370263
785	0.1862194757
786	0.186205902
787	0.1861944737
788	0.1861725134
789	0.1861622051
790	0.1861478461
791	0.1861300964
792	0.1861186465
793	0.1861031384
794	0.1860864419
795	0.1860783707
796	0.1860683181
797	0.1860579682
798	0.1860485921
799	0.1860224973
800	0.1860125705
801	0.1860018477
802	0.1859866686
803	0.1859732655
804	0.1859592571
805	0.1859452996
806	0.1859329844
807	0.1859257844
808	0.1859169272
809	0.1859073666
810	0.1858973391
811	0.1858849059
812	0.1858772072
813	0.1858665557
814	0.1858508396
815	0.1858418758
816	0.1858322307
817	0.1858174014
818	0.185805024
819	0.1857927911
820	0.1857832103
821	0.1857723803
822	0.1857664676
823	0.1857554784
824	0.185743455
825	0.1857320105
826	0.1857182471
827	0.1857067673
828	0.1856987178
829	0.1856880094
830	0.1856770738
831	0.1856654263
832	0.1856571481
833	0.1856445168
834	0.1856315732
835	0.1856216329
836	0.1856129323
837	0.1856069189
838	0.1855907039
839	0.1855756169
840	0.1855683652
841	0.1855558419
842	0.1855377847
843	0.1855210275
844	0.1855158322
845	0.1855037277
846	0.185493212
847	0.18548501
848	0.1854746816
849	0.1854650154
850	0.1854495312
851	0.1854404841
852	0.1854240406
853	0.1854121277
854	0.1853998812
855	0.1853965584
856	0.1853806795
857	0.1853681894
858	0.1853535643
859	0.1853416621
860	0.1853340308
861	0.1853208739
862	0.1853007353
863	0.1852872493
864	0.1852677937
865	0.1852628794
866	0.1852480999
867	0.1852348946
868	0.1852229387
869	0.1852023054
870	0.1851938233
871	0.185178424
872	0.1851617524
873	0.1851474543
874	0.1851399142
875	0.185126289
876	0.1851083959
877	0.1850981163
878	0.1850832641
879	0.18506397
880	0.1850498256
881	0.1850329264
882	0.1850132507
883	0.184996873
884	0.1849828434
885	0.1849691001
886	0.1849549423
887	0.1849415446
888	0.1849292985
889	0.1849065086
890	0.1848935004
891	0.1848817832
892	0.1848664294
893	0.1848535547
894	0.1848385152
895	0.1848302746
896	0.1848115413
897	0.1848012631
898	0.1847858254
899	0.1847693626
900	0.1847544021
901	0.1847434979
902	0.1847295292
903	0.1847144685
904	0.1847021018
905	0.1846924541
906	0.1846772545
907	0.1846682541
908	0.1846514536
909	0.1846399882
910	0.1846230517
911	0.1846124287
912	0.1845987195
913	0.184586438
914	0.1845754032
915	0.1845653796
916	0.1845525538
917	0.1845400847
918	0.1845231011
919	0.1845062192
920	0.1844894891
921	0.1844775819
922	0.1844713201
923	0.1844549734
924	0.1844445246
925	0.1844328281
926	0.1844231867
927	0.1844110357
928	0.1843998011
929	0.1843847091
930	0.1843692247
931	0.1843580766
932	0.1843446364
933	0.1843339218
934	0.1843203671
935	0.1843084182
936	0.1842991166
937	0.1842892154
938	0.1842665635
939	0.1842563465
940	0.1842429367
941	0.1842317058
942	0.1842087406
943	0.1841986369
944	0.184185395
945	0.1841698105
946	0.1841554067
947	0.1841396652
948	0.1841299749
949	0.1841238317
950	0.1841040501
951	0.1840895721
952	0.1840716194
953	0.184067981
954	0.1840502903
955	0.1840387046
956	0.1840266425
957	0.1840066948
958	0.1839919531
959	0.1839798323
960	0.1839688844
961	0.1839559836
962	0.1839470041
963	0.1839406131
964	0.1839288453
965	0.1839149009
966	0.1839033727
967	0.1838932684
968	0.1838782321
969	0.1838672657
970	0.1838557233
971	0.1838461151
972	0.1838373301
973	0.1838212689
974	0.1838124289
975	0.1838042796
976	0.1837946153
977	0.1837844716
978	0.1837777868
979	0.1837622164
980	0.1837529474
981	0.183745334
982	0.1837308812
983	0.1837185067
984	0.1837000326
985	0.1836895338
986	0.1836770338
987	0.1836625446
988	0.1836484918
989	0.1836330038
990	0.1836211335
991	0.183614635
992	0.1836037328
993	0.1835936228
994	0.1835823068
995	0.1835709312
996	0.1835531027
997	0.1835435221
998	0.1835330947
999	0.1835268272
